Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Signup_Quarter
41.0,Female,UK,Glasgow,2.3,30.0,47.4,19.1,34.4,13.0,31.0,64.66,8.0,15.5,6.7,49.8,1.0,5.0,68.2,,4.0,2018.22,4065.0,0,Q2
49.0,Female,USA,New York,1.6,16.0,37.3,10.6,29.5,6.0,15.0,82.84,82.0,37.4,3.1,30.4,9.0,,35.8,27.8,1.0,1351.13,3666.0,0,Q2
36.0,Female,Australia,Brisbane,1.8,8.0,31.1,10.2,56.5,3.0,11.0,69.24,59.0,50.5,,16.2,9.0,6.0,,,2.0,762.06,,0,Q1
46.0,Female,USA,New York,1.1,20.0,29.2,10.7,52.1,5.0,15.0,113.09,91.0,63.2,0.2,18.6,3.0,4.0,37.5,24.1,2.0,1514.3,,0,Q1
43.0,Male,UK,Birmingham,1.2,4.0,,7.3,82.5,,13.0,115.66,1.0,65.4,3.7,5.8,8.0,2.0,13.0,10.4,2.0,1287.66,1100.0,0,Q2
50.0,Female,Japan,Tokyo,0.8,10.0,31.4,,61.2,4.0,13.0,46.55,36.0,62.0,3.9,18.9,8.0,5.0,22.0,18.6,1.0,490.63,279.0,0,Q2
37.0,Female,Canada,Toronto,6.0,7.0,,6.0,62.0,5.0,13.0,74.03,21.0,28.68,3.9,,9.0,1.0,46.4,17.3,,818.45,,0,Q4
46.0,Male,Japan,Tokyo,3.2,0.0,15.5,9.9,59.0,,8.0,125.4,21.0,35.2,11.9,10.0,10.0,2.0,35.0,16.1,5.0,1129.76,0.0,0,Q3
18.0,Female,India,Delhi,2.1,8.0,30.2,10.9,63.6,1.0,13.0,148.46,12.0,35.0,7.7,23.7,7.0,3.0,20.8,16.1,3.0,1726.82,2210.0,0,Q1
38.0,Female,UK,Birmingham,3.4,18.0,41.7,14.0,23.4,9.0,25.0,253.54,47.0,29.1,6.6,39.1,3.0,4.0,41.1,24.8,2.0,7000.2,3464.0,0,Q3
38.0,Male,France,Toulouse,6.3,12.0,,5.7,62.2,3.0,15.6,118.53,34.0,40.32,6.1,28.2,3.0,5.0,,20.5,1.0,1368.17,1855.0,0,Q4
48.0,Female,USA,Houston,0.2,18.0,34.7,13.2,63.7,5.0,13.0,152.25,16.0,68.4,,36.7,5.0,4.0,34.8,20.5,2.0,2284.3,1093.0,0,Q1
34.0,Male,UK,Manchester,3.5,7.0,26.9,9.1,45.2,2.0,18.2,133.33,50.0,90.36,10.1,14.1,8.0,4.0,30.8,,2.0,1514.07,1020.0,0,Q4
18.0,Female,USA,Houston,6.6,11.0,,8.2,77.3,3.0,9.0,151.1,17.0,56.5,4.9,9.2,8.0,5.0,3.6,10.5,1.0,1364.52,2198.0,0,Q1
44.0,Female,USA,Phoenix,1.0,17.0,40.0,15.1,68.8,8.0,29.9,159.32,1.0,66.47999999999999,14.1,43.3,3.0,1.0,37.7,23.0,2.0,4167.82,2468.0,0,Q4
42.0,Male,Japan,Osaka,2.9,13.0,34.2,11.2,44.2,6.0,12.0,80.45,4.0,20.2,6.8,22.1,6.0,3.0,41.6,28.2,4.0,857.38,3094.0,0,Q1
44.0,Male,USA,Phoenix,1.1,22.0,30.0,11.6,44.4,5.0,14.0,57.08,38.0,13.3,5.8,31.3,1.0,3.0,,31.7,3.0,793.28,1768.0,0,Q3
37.0,Male,USA,Chicago,3.4,17.0,32.5,11.3,54.3,1.0,13.0,112.66,135.0,36.12,10.0,25.1,4.0,2.0,17.7,21.8,2.0,965.18,2785.0,0,Q4
47.0,Female,Australia,Melbourne,1.8,18.0,38.7,12.6,30.7,3.0,22.1,125.78,8.0,93.0,,18.9,1.0,5.0,34.0,21.2,2.0,1856.64,4314.0,0,Q4
57.0,Female,USA,Phoenix,5.0,0.0,14.0,7.8,66.5,3.0,8.0,195.76,60.0,67.4,11.2,0.0,3.0,1.0,,13.1,1.0,1279.32,1036.0,0,Q1
58.0,Female,Australia,Melbourne,1.5,0.0,,7.4,64.8,0.0,7.0,141.75,23.0,58.0,5.4,8.4,10.0,1.0,23.1,20.6,2.0,1079.45,724.0,0,Q2
23.0,Male,India,Delhi,0.9,11.0,18.0,6.5,59.9,5.0,10.0,108.72,14.0,56.8,,14.6,6.0,0.0,0.0,14.1,5.0,950.58,244.0,0,Q3
18.0,Male,Japan,Tokyo,1.2,5.0,9.5,1.0,69.1,1.0,6.0,121.35,20.0,,0.6,4.5,6.0,0.0,25.3,6.0,3.0,743.16,0.0,0,Q3
20.0,Female,UK,Manchester,0.9,5.0,25.4,10.8,52.5,5.0,17.0,166.43,30.0,79.5,15.0,19.2,4.0,3.0,0.0,20.0,2.0,2680.76,0.0,0,Q2
41.0,Female,India,Mumbai,3.2,23.0,31.5,12.1,60.6,8.0,19.0,99.58,61.0,46.4,6.9,34.6,2.0,4.0,25.0,26.1,2.0,1970.63,1516.0,0,Q2
37.0,Male,USA,Phoenix,3.4,18.0,23.1,11.7,59.3,10.0,18.0,88.75,6.0,39.4,6.7,22.9,6.0,,51.9,22.2,3.0,1293.92,,0,Q1
38.0,Male,Australia,Brisbane,7.7,11.0,24.5,5.0,50.2,3.0,11.0,99.12,44.0,22.3,3.7,19.1,6.0,1.0,2.8,16.9,2.0,1141.4,2766.0,0,Q1
52.0,Female,India,Mumbai,2.7,2.0,21.2,7.7,70.6,,10.4,232.53,15.0,22.2,17.3,23.6,7.0,1.0,,7.0,3.0,1616.37,2905.0,0,Q4
28.0,Male,USA,Chicago,1.9,15.0,23.3,5.0,57.1,,10.0,108.91,28.0,13.7,10.8,30.7,5.0,1.0,50.8,8.1,2.0,1136.38,2694.0,0,Q2
43.0,Male,Germany,Hamburg,0.6,5.0,20.9,10.1,57.3,4.0,13.0,88.53,,15.6,1.1,30.0,2.0,1.0,5.9,,2.0,1037.72,1370.0,0,Q3
51.0,Female,Canada,Montreal,4.4,13.0,22.1,11.4,58.3,2.0,10.0,137.39,14.0,29.2,1.3,0.0,9.0,5.0,38.0,,,1357.69,3311.0,0,Q1
34.0,Female,USA,New York,1.8,11.0,16.2,6.2,82.3,3.0,17.0,168.95,12.0,35.4,7.9,20.3,4.0,0.0,,,2.0,3087.58,1727.0,0,Q1
27.0,Male,Canada,Vancouver,2.1,19.0,45.8,17.9,41.4,11.0,21.0,128.77,,52.0,0.7,43.1,2.0,1.0,53.7,,4.0,3070.47,3937.0,0,Q2
33.0,Female,Australia,Adelaide,2.4,12.0,21.9,7.8,63.7,,11.7,78.91,25.0,26.64,18.0,16.3,5.0,2.0,,11.4,1.0,743.94,3525.0,0,Q4
33.0,Female,Australia,Sydney,5.8,9.0,14.1,7.6,55.5,2.0,10.4,75.94,13.0,55.92,1.1,,5.0,3.0,,9.7,,590.84,759.0,0,Q4
33.0,Female,India,Hyderabad,6.1,31.0,48.8,13.8,35.7,,31.200000000000003,51.91,13.0,38.28,4.5,57.5,2.0,3.0,57.4,38.3,2.0,1025.9,2826.0,0,Q4
42.0,Male,Germany,Cologne,4.5,23.0,42.1,16.5,20.4,8.0,21.0,126.8,17.0,16.1,0.2,43.6,0.0,8.0,,36.0,2.0,3152.26,3556.0,0,Q2
26.0,Female,France,Lyon,1.3,9.0,14.2,7.8,54.1,4.0,7.800000000000001,118.45,15.0,53.28,2.2,7.7,6.0,3.0,0.0,8.0,3.0,583.09,730.0,0,Q4
26.0,Male,USA,New York,1.9,2.0,25.0,2.7,71.1,1.0,5.0,95.0,26.0,35.0,0.2,10.2,10.0,1.0,12.4,13.7,1.0,521.26,,0,Q2
40.0,Female,Canada,Ottawa,2.8,7.0,27.7,8.7,56.5,5.0,9.0,126.96,12.0,29.5,,31.5,6.0,1.0,26.3,20.6,2.0,973.6,1260.0,0,Q3
28.0,Female,France,Paris,7.8,0.0,,7.8,72.9,1.0,11.7,184.5,3.0,,9.5,17.2,5.0,1.0,10.0,13.6,2.0,1762.85,,0,Q4
33.0,Female,USA,Los Angeles,3.3,16.0,28.2,7.9,62.3,3.0,8.0,132.75,29.0,40.8,3.3,34.2,4.0,3.0,41.4,,3.0,1247.62,1973.0,0,Q1
24.0,Male,UK,Glasgow,4.0,18.0,25.2,9.7,54.1,7.0,17.0,113.33,60.0,45.6,2.9,24.1,5.0,5.0,36.2,20.3,1.0,1761.33,2604.0,0,Q3
37.0,Female,Germany,Cologne,1.8,22.0,41.1,5.8,31.2,6.0,23.4,119.27,75.0,99.48,1.8,16.0,5.0,3.0,39.7,20.9,1.0,1785.18,1880.0,0,Q4
23.0,Male,USA,Los Angeles,0.2,27.0,41.8,10.1,54.8,5.0,19.5,74.87,15.0,,2.9,36.6,5.0,2.0,39.2,24.5,1.0,1009.21,3086.0,0,Q4
44.0,Female,UK,Manchester,0.8,11.0,19.3,5.9,60.9,3.0,4.0,92.54,15.0,,5.3,0.0,8.0,2.0,19.8,10.3,2.0,381.21,182.0,0,Q2
53.0,Female,USA,Phoenix,0.2,14.0,28.9,9.2,52.5,3.0,11.0,40.99,103.0,52.0,3.9,23.4,7.0,3.0,17.6,16.0,4.0,420.26,2832.0,0,Q1
27.0,Female,Japan,Nagoya,4.6,29.0,40.0,12.2,42.9,11.0,19.0,182.86,45.0,23.3,7.2,54.3,3.0,5.0,51.8,38.9,3.0,3957.72,,0,Q3
21.0,Female,Australia,Melbourne,1.0,11.0,26.9,3.8,83.1,,9.1,99.59,9.0,76.08,1.2,6.4,12.0,4.0,15.5,21.7,2.0,832.51,,0,Q4
39.0,Male,USA,Phoenix,5.0,8.0,31.8,8.6,65.0,5.0,19.0,62.15,39.0,19.2,3.8,21.6,4.0,,,25.1,1.0,1254.64,2315.0,0,Q2
37.0,Female,UK,Birmingham,1.8,10.0,32.9,12.4,50.5,8.0,13.0,99.24,50.0,71.28,3.0,33.5,10.0,3.0,6.9,17.2,,1092.8,4122.0,0,Q4
23.0,Male,UK,Birmingham,3.8,0.0,15.5,,50.3,2.0,8.0,187.29,66.0,33.2,,8.2,6.0,2.0,14.2,12.5,4.0,1531.33,0.0,0,Q3
18.0,Male,France,Toulouse,2.1,0.0,25.1,9.7,53.9,,13.0,105.41,4.0,75.6,,11.1,3.0,,43.3,17.1,2.0,1038.04,3660.0,0,Q4
19.0,Male,Germany,Berlin,2.4,18.0,27.3,11.2,45.3,10.0,12.0,63.71,39.0,43.4,2.5,26.1,9.0,3.0,31.3,,2.0,782.94,2127.0,0,Q3
52.0,Female,USA,Phoenix,2.8,12.0,23.0,8.2,49.6,7.0,15.0,122.28,16.0,67.8,1.0,36.9,4.0,2.0,28.0,23.7,1.0,2053.68,3255.0,0,Q2
28.0,Female,USA,Phoenix,3.4,28.0,49.5,14.7,14.0,8.0,19.0,86.97,36.0,71.0,1.9,20.6,3.0,6.0,,36.1,1.0,1776.23,2161.0,0,Q2
56.0,Male,USA,Phoenix,2.4,24.0,39.0,12.0,53.8,10.0,19.0,100.15,2.0,23.7,1.5,38.9,4.0,5.0,54.4,35.3,3.0,1979.87,2447.0,0,Q2
57.0,Female,Japan,Tokyo,1.8,13.0,18.2,7.4,75.6,4.0,13.0,155.78,,25.44,10.3,8.5,5.0,,10.6,23.1,2.0,1450.97,1517.0,0,Q4
43.0,Male,Australia,Melbourne,4.9,19.0,36.3,12.3,36.6,3.0,16.0,83.47,1.0,33.4,10.0,45.1,1.0,6.0,48.4,25.5,1.0,1404.92,5315.0,0,Q3
30.0,Male,Canada,Toronto,3.6,10.0,12.9,9.5,54.6,2.0,9.0,95.88,91.0,,5.1,15.0,9.0,3.0,33.0,14.7,3.0,809.58,1195.0,0,Q3
40.0,Female,UK,Leeds,2.1,6.0,22.7,9.4,71.4,,10.0,50.59,13.0,25.9,1.1,11.2,7.0,2.0,57.7,19.4,2.0,563.97,,0,Q3
48.0,Other,UK,Glasgow,2.0,17.0,43.5,13.8,60.8,5.0,16.0,134.83,8.0,23.6,,11.8,2.0,3.0,40.4,22.5,3.0,1753.74,2252.0,0,Q1
74.0,Male,UK,Glasgow,2.9,12.0,40.0,14.3,59.3,3.0,15.0,101.52,28.0,30.3,6.9,10.5,4.0,2.0,69.2,37.1,4.0,1254.27,2727.0,0,Q3
46.0,Male,USA,Phoenix,2.6,13.0,,,68.9,1.0,12.0,88.87,1.0,25.1,2.1,11.2,8.0,2.0,43.0,13.4,3.0,858.82,4052.0,0,Q3
45.0,Female,India,Hyderabad,1.4,0.0,17.0,4.5,78.8,1.0,6.0,137.02,,32.2,5.7,0.0,5.0,0.0,17.3,,3.0,698.51,1163.0,0,Q3
21.0,Male,USA,Houston,0.1,10.0,21.4,7.5,69.2,4.0,6.0,89.0,1.0,,6.1,5.7,9.0,1.0,0.0,22.2,3.0,619.54,405.0,0,Q1
34.0,Female,France,Marseille,3.7,14.0,25.4,10.4,60.9,5.0,12.0,51.78,20.0,22.0,3.7,6.6,3.0,1.0,23.9,19.4,2.0,601.45,408.0,0,Q3
36.0,Male,Australia,Melbourne,0.3,4.0,16.4,5.7,64.8,,14.0,257.44,5.0,58.2,7.7,9.1,4.0,2.0,22.3,16.1,,4028.16,,0,Q2
38.0,Male,Germany,Hamburg,4.7,3.0,24.4,,74.6,2.0,10.4,82.62,7.0,38.88,4.5,,6.0,1.0,,5.3,2.0,651.55,0.0,0,Q4
39.0,Male,India,Delhi,6.6,18.0,28.6,8.9,62.2,4.0,13.0,73.76,11.0,74.4,2.8,9.7,2.0,4.0,,21.6,1.0,890.43,1884.0,0,Q3
54.0,Male,Germany,Hamburg,5.9,9.0,19.0,6.2,84.7,5.0,15.0,53.51,7.0,65.4,,0.0,6.0,2.0,52.8,11.4,2.0,859.94,1913.0,0,Q2
35.0,Male,Australia,Sydney,5.1,9.0,30.1,9.0,53.6,,12.0,141.09,9.0,64.7,7.8,8.0,5.0,4.0,25.4,11.6,3.0,1655.48,1083.0,0,Q2
50.0,Female,Canada,Toronto,0.1,31.0,47.4,13.4,43.4,7.0,26.0,170.46,170.0,43.8,12.8,49.6,4.0,3.0,56.3,29.6,4.0,2777.62,,0,Q4
30.0,Female,USA,New York,3.1,21.0,23.0,7.9,46.3,,19.5,80.02,66.0,46.440000000000005,16.3,1.6,7.0,1.0,20.1,4.8,2.0,1275.65,1647.0,0,Q4
60.0,Female,Germany,Berlin,4.8,12.0,38.1,15.8,54.6,8.0,16.0,124.88,11.0,28.4,1.2,20.9,10.0,3.0,47.8,28.4,1.0,1625.76,2311.0,0,Q2
22.0,Male,USA,New York,0.4,18.0,28.3,7.7,48.9,9.0,12.0,44.4,86.0,81.1,14.8,21.6,7.0,5.0,48.4,21.2,3.0,529.57,2308.0,0,Q2
44.0,Other,Canada,Calgary,0.9,27.0,43.4,11.6,22.5,3.0,16.0,54.01,42.0,64.7,11.3,16.2,5.0,6.0,1.4,25.4,3.0,938.02,1879.0,0,Q1
34.0,Male,Australia,Perth,2.6,3.0,33.0,9.2,65.7,8.0,14.3,104.96,67.0,32.04,0.9,26.3,4.0,2.0,18.3,19.5,2.0,1235.35,,0,Q4
45.0,Male,Canada,Toronto,0.5,12.0,17.3,7.5,58.6,3.0,9.0,77.43,14.0,8.7,7.8,1.5,7.0,3.0,50.9,18.2,2.0,718.35,2068.0,0,Q2
52.0,Male,USA,New York,2.3,9.0,32.1,9.8,48.8,4.0,13.0,45.09,7.0,34.8,16.3,31.4,8.0,1.0,,22.6,4.0,699.57,2977.0,0,Q2
