Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Signup_Quarter
43.0,Female,USA,Houston,5.4,11.0,25.8,6.4,46.8,1.0,8.0,93.51,3.0,60.7,6.5,23.7,8.0,4.0,14.1,,2.0,689.0,,Q1
41.0,Female,Germany,Hamburg,5.4,0.0,5.3,5.0,85.1,1.0,8.0,49.82,15.0,77.5,8.9,0.0,7.0,1.0,35.8,16.2,4.0,337.65,,Q2
31.0,Male,Japan,Kyoto,3.2,27.0,53.3,14.4,41.9,12.0,24.0,133.35,,40.5,15.0,41.1,3.0,,78.3,37.8,1.0,2871.35,,Q3
,Male,India,Hyderabad,2.4,12.0,,6.9,75.7,0.0,14.0,194.14,32.0,27.3,6.7,11.4,6.0,2.0,16.5,,2.0,3176.39,477.0,Q2
52.0,Male,India,Delhi,2.6,5.0,11.8,,62.2,0.0,4.0,176.88,14.0,32.4,,0.7,6.0,0.0,1.5,9.4,5.0,801.7,0.0,Q2
51.0,Female,France,Nice,2.8,21.0,34.9,13.5,46.3,6.0,19.0,151.41,30.0,19.6,6.3,37.1,3.0,6.0,41.4,30.3,1.0,2473.71,1554.0,Q3
,Male,Canada,Vancouver,1.5,7.0,16.1,,87.5,1.0,6.5,99.58,79.0,,21.3,8.5,7.0,0.0,37.9,8.7,4.0,559.69,415.0,Q4
42.0,Male,USA,Houston,2.5,11.0,,9.0,70.0,3.0,8.0,122.71,30.0,34.0,21.6,23.9,9.0,1.0,25.6,9.8,2.0,1003.05,3394.0,Q1
27.0,Female,UK,Manchester,2.4,1.0,,3.7,72.8,2.0,6.0,111.43,,51.5,12.8,0.0,12.0,2.0,0.0,8.4,3.0,693.21,654.0,Q3
25.0,Female,USA,Phoenix,2.0,10.0,45.0,8.6,37.0,4.0,18.0,168.76,4.0,33.3,4.3,31.6,4.0,1.0,39.1,22.5,3.0,3421.61,2401.0,Q3
36.0,Male,Germany,Munich,5.7,12.0,27.3,8.8,59.1,3.0,9.0,79.7,,,7.8,7.8,8.0,1.0,35.7,26.4,2.0,668.11,2395.0,Q1
18.0,Female,USA,New York,5.9,12.0,25.2,10.8,46.5,7.0,26.0,107.14,13.0,7.68,8.1,17.6,7.0,5.0,43.7,27.9,4.0,2552.53,3176.0,Q4
49.0,Female,USA,New York,1.9,3.0,26.2,6.7,49.5,1.0,9.0,54.33,78.0,33.4,9.2,14.2,4.0,4.0,39.9,14.9,2.0,585.58,2736.0,Q3
39.0,Female,USA,Houston,1.7,28.0,51.5,14.7,18.0,10.0,21.0,147.45,15.0,35.7,0.9,36.7,2.0,11.0,56.7,30.1,4.0,2515.41,2776.0,Q3
32.0,Other,India,Mumbai,3.3,0.0,,4.3,73.3,,4.0,109.12,82.0,35.9,0.5,17.2,5.0,1.0,8.0,7.5,1.0,378.51,1662.0,Q1
,Female,France,Paris,3.9,13.0,33.2,10.9,26.9,7.0,18.0,160.98,66.0,,8.7,39.0,2.0,8.0,82.2,34.2,1.0,2828.67,2395.0,Q2
38.0,Male,USA,Chicago,7.0,12.0,36.1,10.3,22.7,11.0,17.0,102.65,3.0,52.7,3.1,24.2,4.0,3.0,,26.7,2.0,1615.77,2739.0,Q3
50.0,Female,USA,New York,3.5,2.0,19.1,5.0,85.6,3.0,12.0,124.6,12.0,52.6,,,3.0,1.0,13.3,9.1,3.0,1345.82,2291.0,Q3
53.0,Male,India,Bangalore,1.2,5.0,26.4,8.4,82.5,2.0,8.0,83.78,14.0,75.3,4.1,13.0,2.0,1.0,41.9,8.0,,798.57,1132.0,Q1
43.0,Female,USA,New York,6.0,14.0,25.8,4.9,55.9,3.0,13.0,93.66,58.0,11.0,8.8,8.1,5.0,1.0,5.7,14.7,4.0,1347.6,,Q3
60.0,Female,India,Delhi,3.0,17.0,42.6,11.0,40.0,5.0,29.0,53.83,6.0,71.0,9.3,43.1,0.0,8.0,60.1,34.1,2.0,1526.8,4071.0,Q3
20.0,Female,USA,New York,3.5,15.0,32.5,11.9,33.6,8.0,15.0,135.04,8.0,49.3,5.0,29.9,7.0,3.0,31.7,28.2,2.0,1730.97,3853.0,Q1
33.0,Male,Canada,Calgary,1.7,11.0,,4.4,67.3,7.0,10.0,56.84,10.0,71.1,2.3,17.3,10.0,2.0,35.8,22.3,3.0,522.11,268.0,Q3
30.0,Female,Japan,Yokohama,0.2,5.0,27.8,8.5,40.9,1.0,19.5,144.67,43.0,63.6,8.6,,8.0,6.0,42.4,30.3,2.0,2562.51,,Q4
48.0,Male,Canada,Montreal,4.1,11.0,29.9,11.5,52.3,8.0,20.8,114.76,63.0,66.72,7.8,22.7,4.0,3.0,,17.2,4.0,1971.38,3317.0,Q4
22.0,Male,USA,Houston,1.7,1.0,16.6,4.9,91.5,0.0,1.0,173.01,2.0,59.2,8.4,,8.0,0.0,15.8,3.0,3.0,173.88,469.0,Q3
18.0,Female,Canada,Vancouver,1.1,16.0,25.9,9.7,56.7,3.0,11.0,206.66,0.0,23.6,1.3,25.5,6.0,4.0,44.1,30.7,3.0,2462.84,700.0,Q2
31.0,Female,India,Hyderabad,1.2,21.0,37.9,11.5,29.9,8.0,16.0,77.84,9.0,71.4,15.8,36.6,5.0,12.0,46.4,25.9,1.0,1388.37,1838.0,Q1
68.0,Female,France,Paris,5.5,21.0,19.0,9.1,61.7,6.0,11.0,62.68,9.0,,14.0,7.6,4.0,4.0,30.1,20.5,,670.21,1851.0,Q2
22.0,Male,India,Mumbai,2.7,20.0,41.2,16.5,52.4,,15.0,100.91,17.0,20.1,6.7,33.2,8.0,4.0,37.5,32.5,2.0,1321.5,4463.0,Q1
,Male,France,Lyon,6.5,13.0,15.5,7.3,46.8,2.0,15.0,264.81,58.0,7.1,1.1,14.0,6.0,2.0,0.0,13.6,4.0,4493.64,1267.0,Q1
41.0,Female,USA,Chicago,1.7,12.0,19.7,8.9,59.3,4.0,15.0,187.85,15.0,50.6,5.9,24.6,7.0,4.0,45.5,7.3,1.0,2289.28,1923.0,Q3
38.0,Male,Canada,Montreal,5.6,6.0,6.5,7.0,71.3,3.0,5.0,68.84,8.0,26.8,0.7,18.2,3.0,1.0,47.3,25.7,4.0,284.38,2142.0,Q1
36.0,Female,UK,London,3.1,15.0,38.8,9.6,43.1,3.0,10.0,84.44,15.0,26.1,2.8,17.9,6.0,4.0,21.3,27.7,1.0,722.95,3590.0,Q1
57.0,Female,France,Lyon,2.6,11.0,23.8,6.7,64.3,3.0,17.0,93.85,18.0,37.1,11.7,13.1,9.0,3.0,25.5,31.5,2.0,1365.52,0.0,Q2
31.0,Male,Canada,Ottawa,3.4,27.0,39.1,12.2,30.8,9.0,23.0,187.68,34.0,49.8,0.9,31.5,0.0,7.0,51.3,27.8,3.0,4396.42,3568.0,Q2
31.0,Female,France,Marseille,2.9,18.0,52.1,15.2,49.2,6.0,18.0,61.46,5.0,59.8,1.2,42.2,2.0,5.0,62.6,,1.0,938.49,3380.0,Q3
23.0,Male,USA,Phoenix,5.3,15.0,22.8,8.0,53.2,2.0,7.0,87.04,47.0,59.1,22.2,14.7,6.0,0.0,,10.7,2.0,576.36,1953.0,Q2
32.0,Female,UK,Glasgow,2.2,0.0,29.9,7.8,54.9,,12.0,146.75,14.0,10.3,12.3,33.9,4.0,3.0,20.9,17.4,2.0,1896.8,2269.0,Q2
34.0,Male,UK,Glasgow,6.1,3.0,13.1,5.1,64.2,2.0,6.5,120.71,35.0,24.84,8.4,10.4,4.0,,28.1,6.7,3.0,593.27,1447.0,Q4
18.0,Male,USA,Chicago,2.5,3.0,18.6,4.7,60.4,3.0,9.0,55.96,86.0,15.2,4.4,23.2,10.0,,21.8,10.7,3.0,475.81,1131.0,Q2
29.0,Male,USA,Phoenix,2.7,4.0,19.7,5.8,71.2,2.0,10.0,77.38,82.0,36.8,8.0,9.8,3.0,3.0,,,3.0,691.44,2177.0,Q2
32.0,Male,USA,Chicago,0.6,9.0,30.9,,69.0,3.0,18.0,163.56,96.0,13.7,8.9,9.4,5.0,4.0,53.1,22.8,1.0,3477.27,3228.0,Q2
55.0,Female,USA,Houston,2.2,20.0,35.1,9.8,30.2,,37.7,172.59,69.0,55.08,3.2,28.5,4.0,8.0,41.4,,3.0,4358.91,2752.0,Q4
25.0,Female,Germany,Munich,1.2,3.0,,2.1,79.4,0.0,8.0,93.99,4.0,94.6,7.4,0.0,6.0,0.0,28.3,,2.0,787.15,449.0,Q3
37.0,Male,France,Paris,3.6,17.0,23.0,10.1,51.5,2.0,14.3,109.03,29.0,37.2,11.3,26.2,6.0,2.0,41.9,25.7,2.0,1365.94,3776.0,Q4
22.0,Male,France,Marseille,1.2,11.0,20.5,6.1,51.9,6.0,15.6,62.63,3.0,52.92,4.0,12.6,6.0,1.0,12.1,18.6,1.0,675.62,1176.0,Q4
37.0,Female,Canada,Toronto,0.8,22.0,42.1,17.5,41.7,,17.0,105.54,63.0,8.7,6.5,20.1,5.0,5.0,,,2.0,2087.25,4403.0,Q3
29.0,Female,USA,Chicago,4.5,17.0,48.1,14.2,47.8,9.0,26.0,89.46,4.0,32.1,8.2,28.6,3.0,4.0,48.6,39.5,3.0,2603.6,3762.0,Q2
40.0,Male,Australia,Brisbane,1.4,12.0,25.5,7.5,65.5,1.0,7.0,99.75,1.0,56.8,6.9,0.0,8.0,2.0,0.0,22.2,2.0,724.1,2285.0,Q1
29.0,Male,India,Bangalore,1.0,0.0,21.1,3.5,71.2,,4.0,82.97,37.0,38.9,4.9,1.3,8.0,1.0,,7.1,3.0,319.19,1461.0,Q2
35.0,Female,UK,Glasgow,3.0,11.0,20.8,8.1,65.0,,8.0,106.57,8.0,7.8,,23.4,3.0,3.0,7.4,14.9,4.0,909.1,2894.0,Q3
30.0,Male,France,Lyon,1.4,13.0,43.8,15.8,40.8,9.0,21.0,79.44,52.0,67.1,2.1,33.1,2.0,6.0,59.0,34.5,3.0,1682.95,4375.0,Q3
53.0,Female,USA,Los Angeles,0.7,5.0,17.5,6.4,85.5,2.0,11.0,59.42,23.0,11.4,,6.7,10.0,1.0,0.0,6.6,1.0,569.92,0.0,Q1
34.0,Male,UK,Leeds,0.9,14.0,,12.6,67.1,8.0,15.0,184.12,58.0,52.3,8.0,12.6,6.0,5.0,15.6,23.9,2.0,3005.08,1927.0,Q2
48.0,Female,UK,London,0.7,12.0,18.4,6.1,70.6,2.0,10.0,79.99,4.0,39.9,3.6,26.0,7.0,2.0,33.2,18.8,2.0,828.51,1112.0,Q2
45.0,Male,USA,Chicago,2.6,10.0,13.9,4.6,54.5,0.0,5.0,118.66,17.0,11.2,8.9,8.7,3.0,,21.1,11.5,2.0,566.59,0.0,Q3
54.0,Male,USA,Chicago,2.0,1.0,23.6,9.7,83.5,3.0,13.0,99.07,48.0,51.5,9.1,6.9,6.0,,15.6,10.9,3.0,1077.28,1336.0,Q2
,Male,Canada,Montreal,5.1,3.0,20.3,4.4,70.5,2.0,5.0,173.46,,36.2,6.2,,10.0,1.0,3.1,16.9,2.0,744.1,1214.0,Q2
43.0,Male,Canada,Toronto,3.8,11.0,7.9,3.3,88.6,1.0,2.0,212.58,5.0,20.9,3.7,11.9,14.0,1.0,20.8,5.5,1.0,349.94,0.0,Q1
25.0,Female,Canada,Vancouver,5.5,20.0,30.6,9.6,41.7,3.0,15.0,181.08,18.0,14.2,14.6,25.1,3.0,9.0,12.6,37.2,2.0,2536.64,2349.0,Q1
37.0,Female,UK,Leeds,5.9,0.0,,9.0,62.9,3.0,6.0,124.09,14.0,64.0,4.5,0.0,8.0,0.0,0.0,22.0,3.0,814.41,1172.0,Q1
35.0,Female,USA,Houston,3.8,2.0,13.9,3.9,74.7,,6.0,201.09,3.0,52.2,,6.4,7.0,2.0,8.5,14.5,2.0,1359.9,0.0,Q2
33.0,Female,USA,New York,4.1,7.0,20.0,5.1,79.1,3.0,7.800000000000001,90.53,14.0,31.32,0.8,0.0,9.0,1.0,17.0,15.6,1.0,645.93,1815.0,Q4
38.0,Male,USA,Los Angeles,1.9,8.0,31.3,,53.4,4.0,10.0,141.63,42.0,83.7,2.4,,6.0,5.0,39.0,11.1,4.0,1686.71,1941.0,Q2
41.0,Male,India,Mumbai,1.4,12.0,40.5,6.1,59.2,,15.0,72.12,16.0,45.2,14.5,19.9,7.0,5.0,22.3,13.0,2.0,1026.09,2681.0,Q2
46.0,Male,Canada,Calgary,2.5,0.0,,4.8,67.5,0.0,4.0,117.3,1.0,43.8,4.5,12.0,6.0,1.0,9.8,13.0,2.0,453.18,2337.0,Q3
20.0,Female,France,Paris,1.8,11.0,16.7,6.6,70.2,1.0,5.2,54.08,,36.72,6.6,0.0,,0.0,18.6,3.8,5.0,182.56,2244.0,Q4
25.0,Female,USA,New York,0.5,19.0,47.0,15.4,24.6,8.0,21.0,107.23,57.0,23.0,1.6,44.5,7.0,3.0,54.3,,2.0,2172.57,2474.0,Q3
,Female,USA,Houston,7.3,1.0,14.3,2.5,89.7,,3.0,125.77,5.0,16.6,6.6,0.0,9.0,0.0,0.0,12.5,1.0,389.79,0.0,Q1
43.0,Male,France,Marseille,4.1,2.0,,4.6,65.4,3.0,4.0,125.66,73.0,51.7,8.4,9.2,5.0,0.0,0.0,10.7,1.0,532.29,1374.0,Q2
59.0,Male,UK,London,1.9,19.0,31.2,15.2,59.2,6.0,31.200000000000003,103.27,24.0,,8.8,39.5,4.0,2.0,25.3,31.8,5.0,2072.21,2851.0,Q4
49.0,Male,Japan,Tokyo,3.4,25.0,27.5,14.2,30.5,3.0,14.0,7809.072780578226,66.0,35.6,15.4,33.8,8.0,2.0,42.2,26.7,1.0,1710.96,,Q2
44.0,Male,France,Paris,4.9,16.0,35.7,13.4,57.5,4.0,22.1,108.09,14.0,78.24,1.3,31.3,4.0,0.0,38.5,24.3,1.0,2041.58,4124.0,Q4
28.0,Male,USA,Chicago,9.8,16.0,23.8,8.9,64.0,,12.0,269.27,38.0,33.5,,27.5,6.0,5.0,60.6,21.3,2.0,3623.93,1659.0,Q2
34.0,Other,USA,Chicago,1.5,22.0,40.8,14.7,39.1,9.0,19.0,120.62,56.0,20.8,8.1,21.8,2.0,2.0,68.1,33.5,5.0,2415.29,2939.0,Q2
18.0,Female,France,Paris,2.1,12.0,20.2,,57.6,4.0,19.5,158.57,32.0,40.2,9.3,7.1,5.0,4.0,41.8,,2.0,2744.36,3132.0,Q4
32.0,Male,Australia,Melbourne,4.1,25.0,26.8,11.5,32.9,9.0,13.0,94.5,24.0,9.1,1.2,26.8,3.0,4.0,51.4,,2.0,1443.9,3382.0,Q3
33.0,Male,USA,Chicago,5.3,9.0,23.5,6.5,53.5,4.0,10.4,172.13,87.0,,,20.7,6.0,,13.4,25.2,2.0,1141.83,2142.0,Q4
36.0,Male,USA,Los Angeles,1.1,15.0,24.2,9.5,57.8,4.0,13.0,112.39,13.0,14.4,3.3,14.3,7.0,5.0,20.2,15.6,1.0,1574.63,,Q2
36.0,Male,USA,Phoenix,3.0,14.0,42.9,12.6,37.8,8.0,19.5,79.05,8.0,,4.3,28.6,3.0,,42.4,32.4,2.0,1268.16,2588.0,Q4
42.0,Male,USA,New York,1.9,23.0,30.1,9.2,23.2,6.0,15.0,129.33,8.0,15.0,10.8,46.8,9.0,6.0,,23.2,3.0,1684.49,3554.0,Q3
46.0,Female,USA,Houston,1.0,14.0,32.6,7.6,68.2,4.0,12.0,133.68,31.0,51.6,0.6,31.8,5.0,4.0,17.9,26.4,2.0,1687.28,3983.0,Q2
30.0,Male,Canada,Montreal,8.7,5.0,36.2,9.0,55.9,1.0,9.0,163.95,7.0,25.6,9.7,39.5,9.0,3.0,35.9,29.3,3.0,1591.27,698.0,Q1
18.0,Male,USA,Phoenix,3.3,1.0,,3.7,94.2,1.0,12.0,148.17,58.0,39.6,5.4,16.7,10.0,0.0,0.0,,4.0,1470.55,0.0,Q2
26.0,Female,UK,Leeds,10.0,10.0,21.9,3.8,61.8,2.0,10.4,161.14,10.0,73.8,17.5,32.0,6.0,1.0,,10.5,2.0,1393.08,1458.0,Q4
59.0,Female,Japan,Nagoya,1.9,12.0,12.8,4.1,59.1,1.0,6.5,119.95,2.0,43.56,12.9,0.0,6.0,3.0,0.0,9.9,1.0,573.36,1160.0,Q4
